"p1" "p2" "p3" "p1_hat" "p2_hat"
"1" 0.3672 0.3768 0.6704 0.332 0.3384
"2" 0.3641 0.37 0.6711 0.327 0.3441
"3" 0.366 0.381 0.6697 0.3277 0.342
"4" 0.3606 0.3783 0.6712 0.3336 0.3376
"5" 0.3662 0.3781 0.6653 0.3277 0.3376
"6" 0.3625 0.3758 0.6674 0.3206 0.3468
"7" 0.359 0.3729 0.6621 0.3323 0.3298
"8" 0.3621 0.3754 0.6702 0.3267 0.3435
"9" 0.3653 0.3794 0.6704 0.3307 0.3397
"10" 0.3582 0.3898 0.6682 0.3286 0.3396
"11" 0.3637 0.368 0.6631 0.3199 0.3432
"12" 0.3627 0.3774 0.6673 0.3358 0.3315
"13" 0.3601 0.3739 0.6659 0.3243 0.3416
"14" 0.3626 0.3724 0.6637 0.3216 0.3421
"15" 0.3574 0.3773 0.6613 0.3177 0.3436
"16" 0.3642 0.3674 0.6647 0.3296 0.3351
"17" 0.3634 0.3786 0.6745 0.3312 0.3433
"18" 0.358 0.3761 0.6654 0.326 0.3394
"19" 0.3644 0.3794 0.6662 0.3269 0.3393
"20" 0.355 0.3706 0.6778 0.3354 0.3424
"21" 0.3665 0.3652 0.6647 0.3318 0.3329
"22" 0.3685 0.3794 0.6667 0.3335 0.3332
"23" 0.3604 0.3745 0.666 0.3306 0.3354
"24" 0.359 0.3826 0.665 0.3252 0.3398
"25" 0.3684 0.3753 0.6731 0.3338 0.3393
"26" 0.3634 0.3826 0.6658 0.3243 0.3415
"27" 0.3628 0.3725 0.6636 0.3216 0.342
"28" 0.3748 0.3714 0.6738 0.3281 0.3457
"29" 0.3715 0.3773 0.6802 0.3449 0.3353
"30" 0.3566 0.3674 0.6714 0.331 0.3404
"31" 0.3689 0.3754 0.669 0.3259 0.3431
"32" 0.3644 0.3734 0.6646 0.3267 0.3379
"33" 0.3606 0.3713 0.6727 0.3289 0.3438
"34" 0.3584 0.3759 0.6638 0.3271 0.3367
"35" 0.3651 0.3718 0.6675 0.3334 0.3341
"36" 0.3631 0.3755 0.6597 0.3259 0.3338
"37" 0.3574 0.3774 0.6746 0.3307 0.3439
"38" 0.3591 0.3747 0.6644 0.3271 0.3373
"39" 0.3725 0.3757 0.6646 0.3222 0.3424
"40" 0.3628 0.3732 0.676 0.3312 0.3448
"41" 0.3607 0.3766 0.6646 0.3326 0.332
"42" 0.3652 0.372 0.664 0.3299 0.3341
"43" 0.3558 0.3905 0.6736 0.326 0.3476
"44" 0.365 0.3794 0.6749 0.328 0.3469
"45" 0.3644 0.3806 0.6676 0.324 0.3436
"46" 0.365 0.3766 0.6768 0.3308 0.346
"47" 0.3654 0.3749 0.6679 0.3273 0.3406
"48" 0.3723 0.3827 0.6711 0.3267 0.3444
"49" 0.3627 0.3774 0.6754 0.3302 0.3452
"50" 0.3605 0.3807 0.6722 0.3306 0.3416
"51" 0.3615 0.3741 0.6742 0.335 0.3392
"52" 0.3725 0.3806 0.6704 0.3285 0.3419
"53" 0.3599 0.3636 0.6703 0.3282 0.3421
"54" 0.3712 0.3761 0.6656 0.3261 0.3395
"55" 0.3707 0.3796 0.6646 0.3331 0.3315
"56" 0.3597 0.3683 0.668 0.3306 0.3374
"57" 0.3638 0.374 0.6689 0.3326 0.3363
"58" 0.3607 0.3763 0.6657 0.3353 0.3304
"59" 0.3695 0.3658 0.6635 0.3277 0.3358
"60" 0.3616 0.3744 0.6775 0.3262 0.3513
"61" 0.3699 0.3736 0.6606 0.3291 0.3315
"62" 0.3582 0.3819 0.661 0.3248 0.3362
"63" 0.3551 0.3811 0.6598 0.3302 0.3296
"64" 0.3517 0.3799 0.6663 0.3215 0.3448
"65" 0.3698 0.3752 0.6726 0.3305 0.3421
"66" 0.3681 0.3676 0.6639 0.3281 0.3358
"67" 0.3634 0.3799 0.6718 0.3287 0.3431
"68" 0.3671 0.3756 0.6649 0.3251 0.3398
"69" 0.3631 0.3764 0.6748 0.3306 0.3442
"70" 0.3587 0.37 0.6761 0.3297 0.3464
"71" 0.3578 0.3701 0.6707 0.329 0.3417
"72" 0.362 0.3741 0.667 0.3329 0.3341
"73" 0.3713 0.3815 0.6658 0.3261 0.3397
"74" 0.3676 0.3762 0.6648 0.3273 0.3375
