"prob" "type"
"1" 0.6704 "p"
"2" 0.6711 "p"
"3" 0.6697 "p"
"4" 0.6712 "p"
"5" 0.6653 "p"
"6" 0.6674 "p"
"7" 0.6621 "p"
"8" 0.6702 "p"
"9" 0.6704 "p"
"10" 0.6682 "p"
"11" 0.6631 "p"
"12" 0.6673 "p"
"13" 0.6659 "p"
"14" 0.6637 "p"
"15" 0.6613 "p"
"16" 0.6647 "p"
"17" 0.6745 "p"
"18" 0.6654 "p"
"19" 0.6662 "p"
"20" 0.6778 "p"
"21" 0.6647 "p"
"22" 0.6667 "p"
"23" 0.666 "p"
"24" 0.665 "p"
"25" 0.6731 "p"
"26" 0.6658 "p"
"27" 0.6636 "p"
"28" 0.6738 "p"
"29" 0.6802 "p"
"30" 0.6714 "p"
"31" 0.669 "p"
"32" 0.6646 "p"
"33" 0.6727 "p"
"34" 0.6638 "p"
"35" 0.6675 "p"
"36" 0.6597 "p"
"37" 0.6746 "p"
"38" 0.6644 "p"
"39" 0.6646 "p"
"40" 0.676 "p"
"41" 0.6646 "p"
"42" 0.664 "p"
"43" 0.6736 "p"
"44" 0.6749 "p"
"45" 0.6676 "p"
"46" 0.6768 "p"
"47" 0.6679 "p"
"48" 0.6711 "p"
"49" 0.6754 "p"
"50" 0.6722 "p"
"51" 0.6742 "p"
"52" 0.6704 "p"
"53" 0.6703 "p"
"54" 0.6656 "p"
"55" 0.6646 "p"
"56" 0.668 "p"
"57" 0.6689 "p"
"58" 0.6657 "p"
"59" 0.6635 "p"
"60" 0.6775 "p"
"61" 0.6606 "p"
"62" 0.661 "p"
"63" 0.6598 "p"
"64" 0.6663 "p"
"65" 0.6726 "p"
"66" 0.6639 "p"
"67" 0.6718 "p"
"68" 0.6649 "p"
"69" 0.6748 "p"
"70" 0.6761 "p"
"71" 0.6707 "p"
"72" 0.667 "p"
"73" 0.6658 "p"
"74" 0.6648 "p"
"75" 0.6661 "p"
"76" 0.6612 "p"
"77" 0.6712 "p"
"78" 0.6683 "p"
"79" 0.6654 "p"
"80" 0.6659 "p"
"81" 0.6666 "p"
"82" 0.6614 "p"
"83" 0.6712 "p"
"84" 0.6675 "p"
"85" 0.6734 "p"
"86" 0.6693 "p"
"87" 0.6704 "p"
"88" 0.6653 "p"
"89" 0.6671 "p"
"90" 0.6734 "p"
"91" 0.6616 "p"
"92" 0.6609 "p"
"93" 0.6726 "p"
"94" 0.6654 "p"
"95" 0.6729 "p"
"96" 0.6668 "p"
"97" 0.6693 "p"
"98" 0.6602 "p"
"99" 0.6661 "p"
"100" 0.6714 "p"
"101" 0.744 "p1+p2"
"102" 0.7341 "p1+p2"
"103" 0.747 "p1+p2"
"104" 0.7389 "p1+p2"
"105" 0.7443 "p1+p2"
"106" 0.7383 "p1+p2"
"107" 0.7319 "p1+p2"
"108" 0.7375 "p1+p2"
"109" 0.7447 "p1+p2"
"110" 0.748 "p1+p2"
"111" 0.7317 "p1+p2"
"112" 0.7401 "p1+p2"
"113" 0.734 "p1+p2"
"114" 0.735 "p1+p2"
"115" 0.7347 "p1+p2"
"116" 0.7316 "p1+p2"
"117" 0.742 "p1+p2"
"118" 0.7341 "p1+p2"
"119" 0.7438 "p1+p2"
"120" 0.7256 "p1+p2"
"121" 0.7317 "p1+p2"
"122" 0.7479 "p1+p2"
"123" 0.7349 "p1+p2"
"124" 0.7416 "p1+p2"
"125" 0.7437 "p1+p2"
"126" 0.746 "p1+p2"
"127" 0.7353 "p1+p2"
"128" 0.7462 "p1+p2"
"129" 0.7488 "p1+p2"
"130" 0.724 "p1+p2"
"131" 0.7443 "p1+p2"
"132" 0.7378 "p1+p2"
"133" 0.7319 "p1+p2"
"134" 0.7343 "p1+p2"
"135" 0.7369 "p1+p2"
"136" 0.7386 "p1+p2"
"137" 0.7348 "p1+p2"
"138" 0.7338 "p1+p2"
"139" 0.7482 "p1+p2"
"140" 0.736 "p1+p2"
"141" 0.7373 "p1+p2"
"142" 0.7372 "p1+p2"
"143" 0.7463 "p1+p2"
"144" 0.7444 "p1+p2"
"145" 0.745 "p1+p2"
"146" 0.7416 "p1+p2"
"147" 0.7403 "p1+p2"
"148" 0.755 "p1+p2"
"149" 0.7401 "p1+p2"
"150" 0.7412 "p1+p2"
"151" 0.7356 "p1+p2"
"152" 0.7531 "p1+p2"
"153" 0.7235 "p1+p2"
"154" 0.7473 "p1+p2"
"155" 0.7503 "p1+p2"
"156" 0.728 "p1+p2"
"157" 0.7378 "p1+p2"
"158" 0.737 "p1+p2"
"159" 0.7353 "p1+p2"
"160" 0.736 "p1+p2"
"161" 0.7435 "p1+p2"
"162" 0.7401 "p1+p2"
"163" 0.7362 "p1+p2"
"164" 0.7316 "p1+p2"
"165" 0.745 "p1+p2"
"166" 0.7357 "p1+p2"
"167" 0.7433 "p1+p2"
