"prob1" "prob2" "type"
"1" 0.3672 0.3768 "alone"
"2" 0.3641 0.37 "alone"
"3" 0.366 0.381 "alone"
"4" 0.3606 0.3783 "alone"
"5" 0.3662 0.3781 "alone"
"6" 0.3625 0.3758 "alone"
"7" 0.359 0.3729 "alone"
"8" 0.3621 0.3754 "alone"
"9" 0.3653 0.3794 "alone"
"10" 0.3582 0.3898 "alone"
"11" 0.3637 0.368 "alone"
"12" 0.3627 0.3774 "alone"
"13" 0.3601 0.3739 "alone"
"14" 0.3626 0.3724 "alone"
"15" 0.3574 0.3773 "alone"
"16" 0.3642 0.3674 "alone"
"17" 0.3634 0.3786 "alone"
"18" 0.358 0.3761 "alone"
"19" 0.3644 0.3794 "alone"
"20" 0.355 0.3706 "alone"
"21" 0.3665 0.3652 "alone"
"22" 0.3685 0.3794 "alone"
"23" 0.3604 0.3745 "alone"
"24" 0.359 0.3826 "alone"
"25" 0.3684 0.3753 "alone"
"26" 0.3634 0.3826 "alone"
"27" 0.3628 0.3725 "alone"
"28" 0.3748 0.3714 "alone"
"29" 0.3715 0.3773 "alone"
"30" 0.3566 0.3674 "alone"
"31" 0.3689 0.3754 "alone"
"32" 0.3644 0.3734 "alone"
"33" 0.3606 0.3713 "alone"
"34" 0.3584 0.3759 "alone"
"35" 0.3651 0.3718 "alone"
"36" 0.3631 0.3755 "alone"
"37" 0.3574 0.3774 "alone"
"38" 0.3591 0.3747 "alone"
"39" 0.3725 0.3757 "alone"
"40" 0.3628 0.3732 "alone"
"41" 0.3607 0.3766 "alone"
"42" 0.3652 0.372 "alone"
"43" 0.3558 0.3905 "alone"
"44" 0.365 0.3794 "alone"
"45" 0.3644 0.3806 "alone"
"46" 0.365 0.3766 "alone"
"47" 0.3654 0.3749 "alone"
"48" 0.3723 0.3827 "alone"
"49" 0.3627 0.3774 "alone"
"50" 0.3605 0.3807 "alone"
"51" 0.3615 0.3741 "alone"
"52" 0.3725 0.3806 "alone"
"53" 0.3599 0.3636 "alone"
"54" 0.3712 0.3761 "alone"
"55" 0.3707 0.3796 "alone"
"56" 0.3597 0.3683 "alone"
"57" 0.3638 0.374 "alone"
"58" 0.3607 0.3763 "alone"
"59" 0.3695 0.3658 "alone"
"60" 0.3616 0.3744 "alone"
"61" 0.3699 0.3736 "alone"
"62" 0.3582 0.3819 "alone"
"63" 0.3551 0.3811 "alone"
"64" 0.3517 0.3799 "alone"
